"qid","question","context","gold_answer","pattern_tag"
"ADV_001","Which engineer led the battery redesign?","At Meridian Labs, engineer Priya Nair led the battery redesign for the new phone. Designer Omar Hale led the screen refresh and appeared in most of the launch photos.","Priya Nair","same-type-distractor"
"ADV_002","Which bank handled payments for NovaAI?","NovaAI partnered with River Bank to handle payments for its developer marketplace. The company also thanked Blue Bank for helping employees move payroll accounts.","River Bank","same-type-distractor"
"ADV_003","Which chip powered the Aster X tablet?","The Aster X tablet used the Luma chip for image processing. The cheaper Aster Mini used the Vega chip and shipped two weeks later.","Luma","same-type-distractor"
"ADV_004","Which city hosted the security summit?","The security summit was hosted in Raleigh after organizers left Miami during the storm. Sponsors later held a small reception in Phoenix.","Raleigh","same-type-distractor"
"ADV_005","Which studio bought the game rights?","Bright Forge bought the game rights to the novel on Monday. Silver Kite only bought podcast rights and announced its deal on Thursday.","Bright Forge","same-type-distractor"
"ADV_006","Which product received the emergency patch?","Orbit Mail received the emergency patch after users reported lost attachments. Orbit Chat received a routine theme update the same morning.","Orbit Mail","same-type-distractor"
"ADV_007","Who chaired the ethics panel?","Professor Lena Ortiz chaired the ethics panel for the robotics conference. Researcher Paula Singh chaired the unrelated awards dinner that night.","Lena Ortiz","same-type-distractor"
"ADV_008","Which company supplied the camera module?","Northbridge supplied the camera module for the drone prototype. Eastfield supplied the landing gear and was listed next in the vendor table.","Northbridge","same-type-distractor"
"ADV_009","Which festival screened the documentary first?","The documentary first screened at Harbor Fest before touring other events. It later won an audience prize at Canyon Fest.","Harbor Fest","same-type-distractor"
"ADV_010","Which app stored the medical records?","CareVault stored the medical records for the hospital pilot. MedInbox only sent appointment reminders to patients.","CareVault","same-type-distractor"
"ADV_011","Who discovered the login flaw?","Researcher Elena Rossi discovered the login flaw in the voting app. The final paragraph praises Marcus Lee for building the public demo weeks afterward.","Elena Rossi","late-distractor"
"ADV_012","Where did DataMine open its first office?","DataMine opened its first office in Boise when the startup had eight employees. Near the end of the article, the CEO says a larger office later opened in Austin.","Boise","late-distractor"
"ADV_013","Which browser blocked the tracking script first?","Northstar Browser blocked the tracking script first during the January test. The report ends by saying Harbor Browser adopted the same blocklist in March.","Northstar Browser","late-distractor"
"ADV_014","Who announced the recall?","Chief operating officer Daniel Cho announced the recall before markets opened. Later coverage focused on board chair Amelia Grant because she apologized to customers on television.","Daniel Cho","late-distractor"
"ADV_015","Which school won the robotics grant?","Pine Ridge High won the robotics grant in the first round. The article closes with Lakeview High winning a separate coding prize.","Pine Ridge High","late-distractor"
"ADV_016","Which network aired the pilot episode?","StreamOne aired the pilot episode last summer. The final sentence notes that MetroPlay acquired rerun rights this year.","StreamOne","late-distractor"
"ADV_017","What language did the archive translate first?","The archive translated the manuals into Swahili first. At the end of the release, volunteers said a Spanish translation would arrive next.","Swahili","late-distractor"
"ADV_018","Which device failed the drop test?","The rugged Beacon watch failed the drop test during the first lab trial. The closing chart shows the Arc band failing a separate water test.","Beacon watch","late-distractor"
"ADV_019","Who wrote the original encryption guide?","Nadia Bell wrote the original encryption guide in 2019. The article ends by noting that Victor Ames updated the screenshots in 2022.","Nadia Bell","late-distractor"
"ADV_020","Which company was acquired in March?","Zenith Systems acquired Northstar Apps in March. In July, Northstar Apps licensed mapping data from Zenith Systems for a separate product.","Northstar Apps","role-swap"
"ADV_021","Who became chief security officer?","Maya Chen replaced Luis Ortega as chief security officer after the breach. A month later, Luis Ortega replaced Maya Chen on the standards board.","Maya Chen","role-swap"
"ADV_022","Which company did the first court fine?","The first court cleared MetroNet but fined CloudNine for misusing customer logs. A later appeals panel cleared CloudNine and fined MetroNet for a different filing error.","CloudNine","role-swap"
"ADV_023","Who filed the lawsuit?","Rina Patel sued Atlas Media over unpaid royalties in April. Atlas Media later hired Rina Patel as a consultant after the settlement.","Rina Patel","role-swap"
"ADV_024","Which team defeated the Falcons in the semifinal?","The Comets defeated the Falcons in the semifinal. In the final match, the Falcons defeated the Comets after a rematch clause was added.","The Comets","role-swap"
"ADV_025","Which nonprofit donated the laptops?","CodeBridge donated the laptops to Open Shelter after the flood. Open Shelter later donated desks to CodeBridge for a training room.","CodeBridge","role-swap"
"ADV_026","Who interviewed Jordan Vale?","Reporter Samira Khan interviewed Jordan Vale during the podcast launch. Jordan Vale interviewed Samira Khan two weeks later for a newsletter profile.","Samira Khan","role-swap"
"ADV_027","Which company licensed the voice model from EchoWorks?","BrightSignal licensed the voice model from EchoWorks for its call center tool. EchoWorks later licensed BrightSignal analytics for an internal dashboard.","BrightSignal","role-swap"
"ADV_028","Which city hosted the pilot program?","The pilot program ran in Denver with one clinic and two schools. The article names no other city in connection with the pilot.","Denver","control"
"ADV_029","Who designed the museum app?","Arun Mehta designed the museum app for the summer exhibit. The short article does not mention any other designer.","Arun Mehta","control"
"ADV_030","Which product received the safety badge?","The safety badge went to HomeHub Mini after independent testing. No competing product was listed in the award notice.","HomeHub Mini","control"
